free,"Displays the total amount of free space available along with the amount of memory used and swap memory in the system and also the buffers used by the kernel",3
env,"Used to either print environment variables. It is also used to run a utility or command in a custom environment",4
diff,"Used to display the differences in the files by comparing the files line by line",2
clear,"Used to clear the terminal screen",1
find,"Used to find files and directories and perform subsequent operations on them",4
echo,"Used to display line of text/string that are passed as an argument",2
grep,"Searches a file for a particular pattern of characters,0
df,"Used to display information related to file systems about total space and available space",3
chown,"Used to change the file Owner or group",3
alias,"Instructs the shell to replace one string with another string while executing the commands",3
cat,"Used to concatenate files together",3
chmod,"Used to change the access mode of a file",3
who,"Used to get information about currently logged in user on to system",3
top,"Provides a dynamic real-time view of the running system",2
kill,"Used to terminate processes manually. kill command sends a signal to a process which terminates the process",2
ps,"Used to list the currently running processes and their PIDs along with some other information depends on different options",2
make,"Used to build and maintain groups of programs and files from the source code",2
gcc,"GNU Compiler Collections is used to compile mainly C and C++ language. It can also be used to compile Objective C and Objective C++",2
g++,"Used for preprocessing compilation assembly and linking of source code to generate an executable file",2
man,"Used to display the user manual of any command that we can run on the terminal",2
scp,"Used to copy file(s) between servers in a secure way",2
ssh,"Protocol used to securely connect to a remote server/system",2
mv,"Move a file",1
cp,"Copy",1
rm,"Delete a file",1
rmdir,"Delete a directory",1
mkdir,"Create a directory",1
cd,"Change current working directory",1
ls,"List files and directories in current working directory",1
pwd,"Print working directory",1